Temperature (K),Pression (Pa),Altitude above local surface (m),Monthly mean surface H2O layer (kg/m2),Monthly mean surface CO2 ice layer (kg/m2),Water vapor column (kg/m2),Water ice column (kg/m2),Water ice mixing ratio (mol/mol),Water ice effective radius (m),GCM perennial surface water ice (0 or 1),H column (kg/m2),H2 column (kg/m2),Electron number density (m-3),Total electronic content
228.217,734.846,10.0,0.000147262,0.0,0.0316587,0.00117916,1.01218e-05,6.15066e-06,0.0,1.53698e-08,0.000206271,0.269724,9070610000.0
226.026,748.459,10.0,0.00059419,0.0,0.0302467,0.00225206,2.00378e-05,7.60913e-06,0.0,1.76583e-08,0.000208133,0.273695,9810970000.0
223.746,752.83,10.0,0.00224597,0.0,0.0303595,0.00352207,3.39972e-05,1.49557e-05,0.0,1.97332e-08,0.000207345,0.268886,10285700000.0
220.922,773.671,10.0,0.00532274,0.0,0.0334357,0.00481384,5.13949e-05,1.89445e-05,0.0,2.13455e-08,0.000211262,0.267146,10422500000.0
217.971,762.762,10.0,0.0190888,0.0,0.0345715,0.0054111,6.48522e-05,1.29529e-05,0.0,2.23962e-08,0.000207152,0.258373,10202100000.0
210.264,722.182,10.0,9.29712,0.0,0.0318083,0.00564327,0.000101239,8.10652e-06,0.0,2.28018e-08,0.000195577,0.246806,9790150000.0
206.146,663.062,10.0,0.237453,0.0,0.0303468,0.00540956,0.000114732,2.67152e-05,1.0,2.27655e-08,0.000179052,0.228659,9190840000.0
202.195,578.887,10.0,0.0358143,0.0,0.0237899,0.00461346,0.000134775,2.74864e-05,1.0,2.30906e-08,0.000156409,0.204961,8788960000.0
141.112,295.149,10.0,3.23983,2628.9,1.01047e-06,2.25462e-05,6.06388e-06,5.18135e-06,0.0,2.41154e-08,0.000208559,1.11508,14094500000.0
141.755,346.869,10.0,0.0217652,693.078,1.0487e-06,4.9881e-05,9.10764e-06,5.71641e-06,0.0,2.30613e-08,0.000254013,1.34748,14584600000.0
142.308,339.376,10.0,0.0290866,654.586,1.24753e-06,5.9992e-05,9.40896e-06,5.86042e-06,0.0,2.25615e-08,0.000213764,1.27883,17862100000.0
143.387,364.029,10.0,0.0482208,647.372,1.6498e-06,0.00010501,1.21961e-05,5.37829e-06,0.0,2.1843e-08,0.000202924,1.35092,26130500000.0
144.645,401.673,10.0,0.0628856,636.49,2.36906e-06,0.000184249,1.69871e-05,5.21155e-06,0.0,2.0943e-08,0.000197923,1.41546,41850400000.0
146.281,469.225,10.0,0.05204,603.864,3.84814e-06,0.0003316,2.13046e-05,5.52518e-06,0.0,1.96454e-08,0.000210725,1.43146,61426500000.0
147.834,469.042,10.0,0.0448651,539.618,7.352e-06,0.000401124,2.12343e-05,6.04755e-06,0.0,1.77744e-08,0.000191989,1.03468,79276800000.0
149.321,456.619,10.0,0.0240163,412.573,1.71786e-05,0.00043874,1.91492e-05,6.80837e-06,0.0,1.5358e-08,0.000174604,0.665687,89206000000.0
148.695,399.455,10.0,0.0164641,244.947,4.59872e-05,0.000386377,1.81791e-05,7.83579e-06,0.0,1.27037e-08,0.000142259,0.411464,90695800000.0
151.389,443.65,10.0,0.0141008,127.555,0.000179871,0.000585187,2.77167e-05,9.02255e-06,0.0,1.03235e-08,0.000153165,0.31481,84664500000.0
163.978,457.688,10.0,0.0119262,19.1004,0.000475051,0.000607511,3.16272e-05,1.07395e-05,0.0,8.67457e-09,0.000153268,0.442061,73911500000.0
182.967,464.085,10.0,0.00966657,0.0,0.00102038,0.000642254,3.71422e-05,1.08485e-05,0.0,7.67908e-09,0.000152765,0.88626,58317900000.0
194.988,456.144,10.0,0.000324901,0.0,0.00206359,0.00066292,3.20143e-05,8.62746e-06,0.0,7.0919e-09,0.000147829,0.848222,42536400000.0
203.463,481.563,10.0,3.74097e-05,0.0,0.00351567,0.00043143,1.49452e-05,1.44382e-05,0.0,6.81315e-09,0.000155673,0.852684,29415600000.0
211.271,389.972,10.0,2.32182e-09,0.0,0.00330966,2.80121e-05,1.6611e-08,0.0,0.0,6.79618e-09,0.000123143,0.669941,20061100000.0
217.378,395.133,10.0,1.27173e-12,0.0,0.00399646,1.16315e-05,5.04002e-11,0.0,0.0,7.00974e-09,0.000124003,0.627351,14426400000.0
221.655,418.998,10.0,6.36228e-16,0.0,0.00499499,8.27845e-06,1.94656e-13,0.0,0.0,7.35269e-09,0.000131044,0.572931,11074600000.0
223.841,434.621,10.0,1.60991e-19,0.0,0.00592106,1.06865e-05,2.39724e-16,0.0,0.0,7.71006e-09,0.000135469,0.501526,9081740000.0
